name,category
ekwateur,"Environnement / Développement durable, SocialTech / GreenTech, Économie collaborative"
lonlay-&-associés,Paris
cameo-energy,Environnement / Développement durable
phantombuster,"AdTech  / MarTech, Big Data, Digital Marketing / Data Marketing"
doctoconsult,Santé
webforce3,"EdTech, Formation, IT / Digital"
easymovie,"Média, SaaS / Cloud Services, Télévision / Production audiovisuelle"
lepermislibre,"EdTech, Formation, IT / Digital"
doctrine,"Big Data, SaaS / Cloud Services, Service juridique"
cognizant-consulting,"Organisation / Management, Stratégie, Transformation"
jolimoi,"Cosmétique, E-commerce"
artur'in,"AdTech  / MarTech, Marketing / Communication, SaaS / Cloud Services"
jolicode,"Formation, IT / Digital"
ouihelp,"Santé, Services à la personne"
chandago,"Blockchain, IT / Digital"
weglot,"IT / Digital, Logiciels, SaaS / Cloud Services"
gusté,"Luxe, Restauration"
sogelink,"Application mobile, Bâtiment / Travaux publics, IT / Digital"
levanti,"Finance, Transformation"
studio-caramia,"Digital, Logiciels"
yoobic,"Application mobile, IT / Digital"
boost.rs,"Big Data, IT / Digital, Stratégie"
culinaries,"Paris, Lyon, Paris 11"
nickel,FinTech / InsurTech
custeed,IT / Digital
agorastore,E-commerce
maeva.com,"Hôtellerie, Tourisme"
farmitoo,E-commerce
meetic,Application mobile
baya,"E-commerce, Loisirs, Sport"
permettez-moi-de-construire,"Bâtiment / Travaux publics, IT / Digital"
valtech,"IT / Digital, Transformation"
linkbynet,IT / Digital
data-impact,"Big Data, E-commerce"
smart-adserver,AdTech  / MarTech
livi,"Application mobile, Santé, Services à la personne"
strammer,"Organisation / Management, Recrutement"
s.t.-dupont,Luxe
unami,"IT / Digital, Marketing / Communication"
nextmind,"Intelligence artificielle / Machine Learning, Jeux vidéos"
aqua-by,"Art de vivre, Sport"
humancraft,IT / Digital
dresswing,"E-commerce, Mode"
opendatasoft,"Big Data, SaaS / Cloud Services"
malt,Recrutement
fluksaqua,"Big Data, Environnement / Développement durable"
dan-paris,"IT / Digital, Marketing / Communication"
mydiabby-healthcare,Santé
carizy,"Application mobile, Automobile, E-commerce"
feed-manager,"Digital Marketing / Data Marketing, E-commerce, Marketing / Communication"
datawords,"AdTech  / MarTech, Digital, Marketing / Communication"
synktory,Logiciels
the-full-room,"Design, E-commerce, Économie collaborative"
dreem,"Art de vivre, Objets connectés, Santé"
asphalte,"E-commerce, Mode"
les-jardins-du-marais,"Hôtellerie, Luxe, Restauration"
facelift-france,"AdTech  / MarTech, Marketing / Communication"
upflow,FinTech / InsurTech
leciseau,"Art de vivre, E-commerce"
global-savings-group,"AdTech  / MarTech, E-commerce, IT / Digital"
mindee,"Intelligence artificielle / Machine Learning, Logiciels, SaaS / Cloud Services"
maison-plisson,"E-commerce, Epicerie fine, Restauration"
atawa,"Evénementiel, Logistique, Organisation / Management"
yves-rocher,"Art de vivre, Cosmétique, Mode"
biocodex,Santé
intersec-group,"Big Data, Logiciels"
wild-code-school,"Education, Formation"
imagination-machine,"Environnement / Développement durable, IT / Digital"
d2si,"IT / Digital, SaaS / Cloud Services"
amuse,"Big Data, IT / Digital, Média"
wopilo,"Art de vivre, E-commerce"
les-plaisirs-fruités,"Art de vivre, Epicerie fine"
karetis,"Big Data, Incubateur / Accélérateur, Organisation / Management"
médicis-immobilier-neuf,"Immobilier commercial, Immobilier particulier"
tactill,"Application mobile, Objets connectés"
stootie,"Application mobile, Économie collaborative"
foodvisor,"Application mobile, FoodTech, Santé"
deafi,"Application mobile, Services à la personne"
house-of-beer,"Grande consommation, Restauration"
wishibam,"Application mobile, Mode"
akoustic-arts,"Intelligence artificielle / Machine Learning, Musique, Objets connectés"
trustpair,"Big Data, FinTech / InsurTech"
avb,"Santé, Transformation"
o'clock,"Education, Formation, IT / Digital"
talisker,"Organisation / Management, Stratégie"
wine-services,"Boissons, Luxe, Stratégie"
cloudreach,"IT / Digital, SaaS / Cloud Services"
fastory,"AdTech  / MarTech, Big Data, Digital, SaaS / Cloud Services"
stilla-technologies,"Pharmaceutique / Biotechechnologique, Santé"
j.-milliet,"Boissons, Distribution sélective, Logistique"
margo,"IT / Digital, Logiciels"
iadvize,"E-commerce, IT / Digital, Économie collaborative"
mangopay,"FinTech / InsurTech, Logiciels, Économie collaborative"
deliver.ee,"Logistique, SaaS / Cloud Services, Transports maritime et routier"
mobiskill,Recrutement
ovalo,"Big Data, IT / Digital"
adyoulike,"AdTech  / MarTech, Big Data, Publicité"
lexbase,"Big Data, IT / Digital, Service juridique"
hotel-du-collectionneur,"Hôtellerie, Luxe"
april,"Assurance, Big Data, Logiciels"
good-goût,"Epicerie fine, Grande consommation"
supertripper,Tourisme
critizr,Big Data
nossa-fruits,"Environnement / Développement durable, Grande consommation, Restauration"
fyte,"Recrutement, Ressources humaines"
foxintelligence,"Application mobile, Big Data, Stratégie"
la-ruche-qui-dit-oui-!,"FoodTech, Économie collaborative"
proprioo,Immobilier particulier
elinoï,"Logiciels, Recrutement"
edzo,"Intelligence artificielle / Machine Learning, Organisation / Management"
hemblem,"Application mobile, Digital, Marketing / Communication"
o'barbershop,Cosmétique
galadrim,"IT / Digital, Logiciels"
crisp,"IT / Digital, SaaS / Cloud Services"
kobus-tech,"SaaS / Cloud Services, Santé"
eleven-labs,"Audit, IT / Digital, Logiciels"
mollie,E-commerce
music-work,"Marketing / Communication, Musique"
connecting-food,"Big Data, FoodTech, Grande consommation, Restauration"
ayolab,"Big Data, IT / Digital, Stratégie"
365talents,"Big Data, Intelligence artificielle / Machine Learning"
ecritel,"IT / Digital, SaaS / Cloud Services"
la-pause-baskets,"Art de vivre, Organisation / Management"
ysé,"E-commerce, Luxe, Mode"
withings,Objets connectés
autobiz,"Automobile, Big Data, Digital Marketing / Data Marketing, Mobilité"
