name,category,location,url,creation_date,employee_number,turnover,presentation
ekWateur,"Environnement / Développement durable, SocialTech / GreenTech, Économie collaborative",Paris,"
      
        
      
    ekwateur.fr",2016,33,32 ans,"ekWateur propose de l’électricité, du gaz et du bois 100% renouvelables, à tous les particuliers et petits professionnels de France depuis septembre 2016. Avec déjà plus de 70 000 compteurs, c’est l’une des plus forte croissance du marché. ekWateur s’est construit sur la vision d’un marché de l’énergie décentralisé, renouvelable et transparent. Cette vision est particulièrement novatrice dans le marché énergétique français, qui était sous monopole jusqu’en 2007. Aujourd’hui encore 85% des français et françaises sont encore chez les fournisseurs historiques d’électricité et de gaz, dont les offres principales sont basées sur le nucléaire et le non-renouvelable. Entre deux mugs de café tiède, ekWateur essaye de convaincre un monde incrédule qu’il faut se tourner vers une attitude plus écologique, et pour le motiver encore plus ekWateur lui permet de faire des économies. Si la transition énergétique est un sujet qui s’impose dans le débat public, le choix de sa propre énergie reste obscure. ekWateur, c’est la volontée de rendre transparent l’énergie, spécifiquement l’énergie renouvelable, et de donner le choix aux citoyens, à travers une structure agile et innovante. C’est une start-up de 33 geeks super motivés et amoureux des énergies renouvelables, réunis autour des valeurs suivantes : La combativité : inventer des nouveaux modèles et des nouvelles offres pour concilier viabilité et enjeux d’aujourd’hui.La durabilité : ne jamais perdre de vue la transition énergétique.La proximité : les  clients sont des  amis <3La transparence : pédagogie, exactitude et traçabilité sont les maîtres motsL’objectif d’ekWateur est de rendre le choix de l’énergie accessible, simple et transparent. Toutes les actions ont pour objectif que chacun ait sa propre transition énergétique au bout de son clic. L’énergie 100% renouvelable est le socle. L’ électricité et le gaz ekWateur sont certifiés par des garanties d’Origine, et le bois est issu de résidus de scieries françaises, avec du bois en provenance de forêts éco-gérées.Chez ekWateur ils recherchent des collaborateurs et collaboratrices combatifs et combatives, qui ont l’autonomie et l’envie d’avancer dans leur ADN.Ils préfèrent les têtes bien faites aux têtes bien pleines.Il est recommandé de :Ne pas voir peur de se faire spoiler GoT et The Walking DeadAimer le chocolat Etre un(e) super-héros"
Lonlay & Associés ,Paris,www.lonlay-finance.com,"
      
        
          
            
              
                
                  
                    
                  
                
              
            
          
        
      
    CDI",2004,42,,"Le cabinet Lonlay et associés représente aujourd'hui plus d'un milliard d'euros d'actifs conseillés avec une collecte annuelle de 150 Millions d'Euros, une quarantaine de consultants et des pôles d'expertise multiples tels que le pôle immobilier, le pôle financier, un pôle d'ingénierie patrimoniale et de financement d'entreprise. Le cabinet Lonlay & Associés souhaite accompagner ses clients et futurs clients dans la tradition des meilleurs familly-office. Pour se faire, le cabinet recherche 5 postes de consultants en gestion de patrimoine. Les consultants intégrants le cabinet se devront d'être ambitieux et dotés d'un fort sens du relationnel. A Compléter"
CAMEO Energy ,Environnement / Développement durable,Paris,"
      
        
      
    www.cameo-energy.com",2012,50,31 ans,"CAMEO Energy est née en 2012 de la conviction que la transformation énergétique est un véritable levier de développement économique. La Mission de CAMEO est en effet de permettre au plus grand nombre d’accéder simplement et rapidement aux technologies innovantes en termes d’économies d’énergie.Leurs actions montrent qu'ils croient possible la transformation de notre société vers un modèle plus sobre en énergie, plus juste et plus soutenable.Au quotidien, leurs métiers n’ont rien de normaux : ils sont parmi les rares métiers qui répondent à deux objectifs impérieux :
Aujourd’hui, donner des moyens pour activer des solutions d’efficacité énergétique
Demain, accélérer la diffusion massive de technologie plus économes en énergie.Leader sur le marché des Certificats d’Economie d’Energie, des solutions pour les entreprises sans courtage ni spéculation, CAMEO joue le rôle d’un tiers de confiance expert tant auprès des fournisseurs d’énergie, que des exploitants, des fabricants ou des maîtres d’ouvrage qu’ils soient industriels, tertiaire ou résidentiel.
CAMEO , c’est aussi :CAMEO Invest-Energy : une offre CEE et préfinancement de projets innovants d’efficacité énergétique CAMEO Solution -Energy : leur bureau d’étude énergie internalisé dont le  but est de guider leurs clients vers la solution optimale en matière d’efficacité énergétique et de financement des projetsCAMEO Inno-Energy propose, enfin, aux entreprises un service d’accompagnement à la transformation énergétique, à travers des sessions de formation, de sensibilisation et plus globalement des mécanismes d’engagement.
Les offres CAMEO s’appuient sur leur plateforme EnergyMind développée en interne par leurs équipes de R&D.
CAMEO aujourd’hui c’est 6 années consécutives de forte croissance.  En 2018, CAMEO confirme ses performances en réalisant 25 millions d’euros de CA .
CAMEO Energy c’est  :100 millions d’Euros de financements débloquésPlus de 2000 projets optimisés20 TWh d’économies d’énergie cumulésLeurs valeurs - l’utilité sociale, la créativité, la confiance, la catalyse d’expertise et les comportements partagés qui en découlent, sont le ciment qui nous permet de relever les nombreux défis à venir.Cameo recherche des personnes polyvalentes, aux parcours riches ou atypiques, partageant avec eux l'envie de travailler en collectif pour faire avancer un projet qui a du sens.
Explorateurs, créateurs, communicants, réalisateurs, entrepreneurs ou vieux sages….Une start up qui n’en est plus : Une croissance forte et autofinancée, des opportunités professionnelles pour celles et ceux qui souhaitent se développer au travers de missions variées .CAMEO c’est aussi, un parcours individuel d’apprentissage exigeant lors de l’embauche :il commence par un période d’amorçage puis d’ancrage , il s’accompagne d’une compréhension du fonctionnement de l’entreprise à 360 grâce à un programme d’ onboarding collectif .CAMEO , c’est enfin des petits déjeo le vendredi, des goutéo… autant de rituels pour partager les projets et les idées, les bonnes nouvelles et fêter les succès ."
Phantombuster,"AdTech  / MarTech, Big Data, Digital Marketing / Data Marketing",Paris,"
      
        
      
    phantombuster.com",2016,5,,"Phantombuster is the growth-marketers favorite weapon. Elected best Growth-hacking tool of 2018 by the Bad-Ass Marketers and Founders, they keep innovating thanks to their digital marketing platform.Thanks to a clever mix of social media automation and data scraping, they allow non-technical people to leverage the full power of the Web with one end in sight: growth.Born in 2016, they found their business model in 2017 and completed their first round of investment in summer 2018.Since then, they grow 20% over months and are looking for helping hands to keep that pace.Phantombuster is looking for creative people with a kind soul and common sense. If you recognize yourself in those criterias but doubt to understand their product, that’s alright, shoot them a mail.They don't think that spending more than 7 hours per day at work is really effective or necessary. Surprising, huh?"
Doctoconsult,Santé,Paris,"
      
        
      
    doctoconsult.com",2016,12,30 ans,"Doctoconsult est une startup spécialisée dans la e-santé mentale. Elle développe des solutions digitales qui ont pour vocation d’améliorer l’accompagnement des patients atteints de troubles psychiques et de faciliter le quotidien des médecins. Créée en 2016 par le médecin psychiatre Dr. Fanny Jacq pour répondre à la forte demande de ses patients qui avaient besoin de maintenir un lien avec elle, même à distance, la startup a d’abord lancée une plateforme de téléconsultation. 
Ouvert en 2017 au grand public, ce service permet aux médecins psychiatres, nutritionnistes et addictologues de réaliser des consultations par visioconférence avec leurs propres patients ou avec des patients n’ayant pas accès à un psychiatre à proximité. Depuis 2018, l’entreprise développe une gamme complète d’outils digitaux innovants dédiés à la santé mentale pour transformer ce secteur jusqu’à présent délaissé par l’innovation. Doctoconsult recherche avant tout des personnes compétentes (c’est quand même important…) et bienveillantes. Tout collaborateur de Doctoconsult doit avoir pleinement conscience que ses actions ont un impact sur la vie de patients et de médecins. Ils cherchent des profils capables de relever les défis, faisant preuve d’autonomie tout en valorisant l’esprit d’équipe.Chez Doctoconsult ils ont une passion étrange pour les lunettes en tout genre… En forme d’oiseaux, de fleurs, de cocktails, etc. ils adorent les porter lors de leurs apéros et team building parce que oui, ça les fait drôlement rigoler ! 
D’ailleurs c’est aussi une de leurs particularités, ils travaillent dur mais n’oublient jamais de se marrer :D "
WebForce3,"EdTech, Formation, IT / Digital","Paris, Les Mureaux","
      
        
      
    www.wf3.fr",2014,22,35 ans,"WebForce3 agit pour que la révolution numérique soit une opportunité d’accomplissement et d’évolution professionnelle pour tous en accédant à de nouvelles compétences et à des métiers stimulants en tension dans le secteur du web. Un combat d’avenir ambitieux et solidaire que WebForce3 mène depuis 2014, partout en France et à l’étranger, à travers son réseau d’écoles qui propose des formations courtes et intensives, conduites par des professionnels en activité reconnus dans leur domaine d’expertise. Pour WebForce3, se réaliser à l’ère du numérique implique de se réinventer sans cesse et de se transformer grâce à un apprentissage permanent, au plus près des besoins des entreprises et en phase avec les évolutions technologiques.WebForce3 a déjà été distingué par une soixantaine de labels “Grande École du Numérique”, 6 labels ParisCode ainsi que le prix ""Digital Skills for the Labour Force"", de la Commission Européenne en décembre 2017.Chez WebForce3, ils recherchent des collaborateurs motivés et dynamiques, en phase avec les évolutions constantes du numérique et sensibles aux enjeux du milieu de la formation.Leur priorité : proposer des formations de qualité et offrir un accompagnement tout au long de la vie professionnelle de leurs alumni.Faire partie du staff ou être formateur chez WebForce3, c'est aussi adopter un état d'esprit solidaire et bienveillant.Tu ne passeras pas le test ""Quel genre de geek es-tu ?"" mais on te défiera sur un test de culture web.Il y a des musiciens de talent dans l’équipe et ils rêêêvent de monter un groupe !On a un champion de Backgammon à battre.Tu pourras bizuter les nouveaux stagiaires… (Non, on plaisante !)On aime les afterworks improvisés, car ce sont souvent les meilleurs !"
EasyMovie,"Média, SaaS / Cloud Services, Télévision / Production audiovisuelle","Paris, New York","
      
        
      
    www.easy.movie",2013,75,29 ans,"Depuis sa création il y a cinq ans, EasyMovie s’est imposée comme le leader mondial de la vidéo d’entreprise. En phase de très forte croissance (*3/an), elle compte aujourd’hui plus de 75 collaborateurs répartis sur trois continents, et plus de 350 clients Grands Comptes (Carrefour, AXA, BNP Paribas, L’Oréal, Orange, Air Liquide, LVMH, etc.) EasyMovie est la première solution permettant aux grands groupes de créer des contenus vidéos à très grande échelle et en toute autonomie. Les collaborateurs peuvent facilement réaliser leurs vidéos en suivant des storyboards, qui garantissent aux entreprises une consistance technique, éditoriale et graphique.EasyMovie recherche des collaborateurs passionnés par l’environnement tech B2B, qui progressent vite, qui aiment résoudre des problèmes et qui ont l’ambition de participer à une aventure internationale.  Chez EasyMovie de nombreux événements sont organisés comme des soirées, des tournois de ping-pong, des matchs de foot, de basket, des séminaires… Et comme nous sommes une équipe soudée et mobile, il n’est pas rare d’aller rendre visite aux collègues de New-York et de Tunis !"
Lepermislibre,"EdTech, Formation, IT / Digital",Lyon,"
      
        
      
    www.lepermislibre.fr",2015,14,29 ans,"Lepermislibre est l'auto-école en ligne qui remplace les auto-écoles traditionnelles, grâce à une offre développée sur-mesure pour chaque candidat au permis de conduire. Code, conduite, permis complet ? 
Chacun y trouve forcément ce qu'il lui faut !Lepermislibre propose d'une part de passer son code de la route grâce à un système pensé 100% en ligne, proposant cours théoriques, entraînements et examens blancs. Des courbes d'évolution permettent à chaque candidat de mesurer son avancement en toute autonomie et/ou avec l'aide de l'équipe pédagogique.Réelle plateforme de mise en relation entre enseignants de la conduite et candidats au permis, Lepermislibre offre également une formation pratique où chaque candidat a la possibilité de choisir son enseignant et son point de rendez-vous partout en France, 7 jours sur 7, de 6 heures à 22 heures. 
En somme, c'est l'auto-école en ligne qui simplifie et rend beaucoup plus flexible le premier examen de France, tout en réduisant de moitié le prix du permis de conduire.Lepermislibre a une mission principale : rendre l'expérience de ses utilisateurs chaque jour plus agréable. Pour cela, l'entreprise agrandit ses équipes !Chaque membre de l’équipe, qu’il soit au Service Client, Service Enseignants, Service Marketing, équipe IT ou équipe Partenariat a un rôle clé pour atteindre les objectifs de l’entreprise.Pour agrandir ses équipes, Lepermislibre recherche avant-tout des collaborateurs motivés et passionnés qui souhaitent relever des défis au quotidien et se surpasser au service des équipes et des utilisateurs de la plateforme.La solidarité, la bonne humeur et le partage sont les valeurs qui unissent tous les collaborateurs évoluant dans l'entreprise (la culture de la gagne à Mario Kart également, avouons-le).L’esprit Lepermislibre, c’est :Formation express à Mario Kart assuréeCours de ping-pong à la pause-déjeuner Amateurs de beurre appréciés (pas de blague avec les croissants du lundi matin !)Les apéros du vendredi pour les plus téméraires 😃 !"
Doctrine,"Big Data, SaaS / Cloud Services, Service juridique",Paris,"
      
        
      
    www.doctrine.com",2016,75,27 ans,"Doctrine est le Google du droit. Fondée en juin 2016, Doctrine centralise l’information juridique pour la rendre facilement accessible et pertinente pour les professionnels du droit.  L'ambition de Doctrine est de rendre le droit plus transparent pour permettre aux avocats de mieux conseiller et défendre leurs clients et aux juges de mieux juger. Composée de 75 personnes, Doctrine compte bien doubler de taille en 2019  pour supporter sa croissance en France et en Europe. Plus de 1 500 organisations font déjà confiance à Doctrine dont les clients sont principalement des cabinets d'avocats et des directions juridiques.En 2 ans, Doctrine est devenue la plus grande LegalTech D'Europe, voici notre histoire Doctrine recrute des candidats ambitieux ayant développés une réelle expertise dans leur domaine d'activité. Peu importe votre parcours, vous devez être le meilleur dans votre zone d'expertise. Doctrine est composée de plusieurs équipes de 7 personnes, vous devez donc faire preuve d'un fort esprit d'équipe et d'autonomie dans votre mission.Des connaissances en droit sont un plus mais ce n'est pas obligatoire. Doctrine offre une courte formation juridique qui se termine par une visite au Palais de Justice afin d'assister à des procès.Doctrine est divisée en équipes de 7 personnes, véritable ""startup dans la startup"" qui permet de conserver la plus grande agilité.Le droit est le code source de la société, votre action changera la vie de millions de personnes. No pressure :)"
Cognizant Consulting,"Organisation / Management, Stratégie, Transformation",Paris,"
      
        
      
    www.cognizant.com",2004,300,30 ans,"Cognizant Consulting est la division conseil de Cognizant, l’une des principales sociétés de conseil et de services dans le monde.En France, ses 300 business consultants accompagnent les entreprises dans leur transformation stratégique, opérationnelle et technologique à l’ère du digital.L’ambition de Cognizant Consulting est d’être un partenaire de confiance, reconnu pour la qualité de ses prestations et son engagement auprès de ses clients.La diversité des profils et le dynamisme de ses équipes en font un cabinet convivial et expert.Cognizant Consulting est un cabinet multi-spécialiste qui conseille les plus grands groupes mondiaux pour les aider à imaginer et mettre en œuvre leurs stratégies.Secteurs d’activitéBanque de Financement et d’Investissement, Asset & Wealth ManagementBanque de détail & services de financement spécialisésAssuranceIndustrie Pharmaceutique & SantéRéférences : 2 000 clients actifs dans le monde (10 des 10 plus grandes banques européennes, 7 des 10 plus grands assureurs et 28 des 30 plus grandes compagnies pharmaceutiques)Chez Cognizant Consulting, ils recrutent des personnalités variées qui savent être sérieux sans se prendre au sérieux. Autonomie, rigueur, curiosité, sens de l'initiative et de l’humour… font partie de leur ADN.Vous vous reconnaissez ? Rejoignez-les !Pour se sentir bien chez Cognizant Consulting, il faut aimer : voyager pour les séminaires annuels à l’étranger (Budapest, Séville, Lisbonne, Florence, Les Baléares, Marrakech…)retrouver ses collègues lors de réunions de practices en dehors du bureau et finir par une soirée convivialefaire de la musique ou devenir fan du groupe de rock maison « Arizona »jouer au babyfoot après le déjeuner ou jouer en vrai au foot en sallese relaxer au cours de Yoga du Mercredi mididanser lors des Summer & Christmas Parties sur notre rooftop ou dans notre loungefaire venir ses enfants aux Kids Day pour leur faire découvrir le bureau de papa et mamanLa satisfaction des collaborateurs est régulièrement récompensée par l'attribution du label HAPPY AT WORK depuis plusieurs années.
 "
